Name,Nickname,Weapon,Description,Price
Joyce,Surfing Queen,Surfboard Dagger,"Joyce harnesses her passion for surfing to conceal a deadly secret. Her surfboard doubles as a lethal weapon, with a concealed dagger hidden within its core. With a swift and unexpected maneuver, she uses the surfboard to strike her target, delivering a deadly blow while maintaining her love for the ocean",0.8
Arthur,Excalibur's Champion,Blade of Legends,"I am a king that holds a legendary sword with a rich history, said to possess the spirits of valiant warriors. My special ability is whirlwind motion, I can slash your enemy with blinding speed and dealing damage to multiple targets.",99
Yin,Boss of Hat,Hidden Blade,"To kill with stealth and precision, Yin swiftly extends her arm, revealing a hidden blade concealed within her cap. With a swift and silent strike, she targets the vital points of her target, ensuring a swift and deadly execution.",1.3
Donald,Gambler's Grim Reaper,Dice of Destiny,"Donald, also known as the Gambler's Grim Reaper, is an enigmatic assassin who specializes in using games to carry out his deadly work. With his expert knowledge of the gambling industry, he has become a master of games of chance and strategy, and his weapon of choice is the Dice of Destiny.

Despite his love of board games, Donald's invitation to play is not one to be taken lightly. He uses his games as a deadly trap for his targets, and even the choice of game is left to chance. Whether it's a game of Monopoly, Risk, or something more obscure, Donald always seems to come out on top, leaving his opponents with nothing but regret.

His sense of humor and playful demeanor often lull his targets into a false sense of security, but make no mistake, Donald is a deadly assassin with a sharp mind and a cunning strategy. He enjoys the challenge of each new opponent and relishes in the satisfaction of outsmarting them at their own game.",5
Dave,Clandestine Crown,Excalibur,"Dave, a man of unassuming presence, is the reincarnation of King Arthur, the once and future king of legend. As the reincarnated Arthur, Dave has taken up the mantle of leadership and chivalry, embodying the values of honor, courage, and loyalty that defined the original King Arthur and his Knights of the Round Table.

Despite his serious demeanor, Dave has a fatherly quality about him that draws people to him. He is a calm and composed leader who always puts the needs of others before his own. He has an innate ability to inspire others to follow him into battle, and his Knights of the Round Table are among the most dedicated and loyal warriors in all the land.

As an experienced fighter, Dave is well-versed in all forms of combat. He is a skilled swordsman and tactician, able to outsmart his opponents with ease. Dave's modern armor is designed to be practical and functional, while still embodying the regal and majestic qualities of Arthurian legend. He is always impeccably dressed, whether he is leading his knights into battle or attending a business meeting as the wealthy and secret owner of multiple businesses.

Despite his vast wealth and resources, Dave is not a mercenary. He does not offer his services for hire, and those who seek his aid must prove themselves worthy of his assistance. Dave's services come at a high cost, both monetarily and morally. He demands that those who seek his help are willing to uphold the values of chivalry and honor, and he expects nothing less than the same level of dedication and loyalty that he gives to his own knights.

Dave is not one to shy away from a challenge. He relishes the opportunity to face formidable opponents and put his skills to the test. However, he will not engage in unnecessary bloodshed. He will always offer his opponents the chance to surrender peacefully, and only as a last resort will he resort to violence. For those seeking his aid in battle, there is an extra cost if they want Dave to personally land the killing blow. Despite his prowess as a fighter, Dave understands the value of life and will not take it needlessly.",5
Connor,Dealth Architect,Accident,"Connor is a master strategist, known as the 'Strategist of Death' for his ability to engineer deadly 'accidents' that are often mistaken for simple misfortunes. With a sharp mind and a keen eye for detail, Connor approaches his work like a complex math problem, carefully analyzing every possible variable before determining the best course of action.

As a professor of mathematics, Connor has a natural talent for logic and problem-solving. He is quick to identify patterns and trends, and he can often see the solution to a problem before anyone else. His highly analytical mind makes him a formidable opponent, and he is not one to be underestimated.

Connor likes to create well-calculated plans that make his kills seem like accidents. He believes that the perfect crime is one that leaves no trace of foul play, and he takes great care to ensure that his plans are flawless. His weapons of choice are his intellect and his ability to think on his feet, allowing him to adapt to any situation and come up with a solution quickly.

Connor is a master of deception, and his plans often involve manipulating his targets into putting themselves in harm's way. He is not above using psychological tricks to achieve his goals, and he can be very convincing when he needs to be.",3.14
Matthew,Beer Baron,Beer,"Matthew, the Beer loving dungeon master, is a unique and eccentric individual who has a deep passion for beer. He is a collector of rare and exotic brews, and his dungeon is filled to the brim with rows upon rows of different kegs, bottles, and cans from all around the world. He is always on the hunt for new and interesting beers to add to his collection, and he loves nothing more than sharing his passion with others.

Despite his laid-back attitude and easy-going personality, Matthew takes his beer collecting very seriously. He has dedicated countless hours to researching and studying different brewing techniques, and he has a deep knowledge and appreciation for the craft of beer-making. He is always willing to share his expertise with others, and he loves nothing more than engaging in long, detailed conversations about the nuances and complexities of different brews.

Matthew's dungeon is a unique and fascinating place, filled with the rich history and culture of beer-making. It is a place where beer lovers can come together to share their passion for this ancient and beloved beverage, and where new friendships are forged over a cold pint of the finest brews in the world.

Matthew favourite method of killing is to take his target to his dungeon and make sure they finish their drinks. Most of the time, it is too much to handle.",1.2
Philip,VR Warden,Digital Prison,"Phillip is a skilled gamer and VR world Game Master. He has a passion for gaming and has developed his own VR game. Once you join the game, you must finish it, as there is no way to exit until you have completed all the levels. The physical harm a player suffers within the game translates to their real-life body. No player have escaped his prison until today.

Phillip is a master of digital prisons and has created a world that is both enticing and dangerous. Players who enter his game are unaware of the challenges they will face, and they are unable to escape until they have completed every task. Phillip is known for his cunning and intelligence, and he is always one step ahead of his opponents. His game is a true test of mental and physical endurance, and only the strongest and most skilled players will be able to complete it.

As the game master, Phillip has access to powerful weapons that he can use to keep his players in line. His digital prison is impenetrable, and he can control every aspect of the game. He has a reputation for being a ruthless and cunning opponent, and many people fear him.",3
Mathieu,Ruby Fist,Binary Gauntlets,"Mathieu is a skilled street fighter who possesses superhuman strength thanks to his Binary Gauntlets. These massive gloves are powered by ruby gems, giving him a boost in physical strength that can make him a formidable opponent. When gliding on rails, Mathieu's powers are further enhanced, which he calls Ruby on Rails. Despite his incredible strength and prowess in combat, Mathieu is kind at heart and hates violence. He came to Japan in search of a peaceful life, away from the dangers of his previous profession.

However, when his good friend John Wick asked for his help in seeking revenge, Mathieu was forced out of retirement. Though he was hesitant at first, his loyalty to his friend and his desire for justice compelled him to return to the world of violence and bloodshed.",2.3
Ryo,Phantom Maestro,Organ Hovercraft,"Ryo was once a world-renowned professional organ player, admired for his exceptional talent and extravagant performances. However, an accident during one of his performances left him disillusioned with his career and he turned to a life of crime as an assassin. Using his connections, Ryo reached out to Bruce Wayne to design and build him a specialized weapon - the giant foating Organ Hovercraft. With this weapon, Ryo is able to float above his targets and unleash a barrage of devastating attacks that leave no survivors.

Despite his violent tendencies, Ryo remains a showman at heart and always ensures that his assassinations are a spectacle to behold. He takes great pride in his work and often leaves his victims with a cryptic message, challenging the authorities to try and catch him. Despite his bold and extravagant appearance, Ryo is elusive and difficult to catch, leaving no trace behind.",6
